1,0,17290.8,-8653.67,-8637.15
2,200,17298.8,-7715.18,-9583.66
3,400,17154.5,-6708.79,-10445.7
4,600,16984,-5694.6,-11289.4
5,800,16773.3,-4665.51,-12107.7
6,1000,16451.4,-3605.15,-12846.2
7,1200,16080.6,-2535.42,-13545.2
8,1400,15654.3,-1456.84,-14197.5
9,1600,15161.3,-371.765,-14789.5
10,1800,14608,714.714,-15322.7
11,2000,14020.2,1801.24,-15821.5
12,2200,13370.4,2883.11,-16253.5
13,2400,12636.6,3947.08,-16583.7
14,2600,11858.7,4994.94,-16853.7
15,2800,11041.5,6025.03,-17066.6
16,3000,10168.5,7022.38,-17190.9
17,3200,9282.29,8010.38,-17292.7
18,3400,8339.98,8950.78,-17290.8
19,3600,7386.01,9880.74,-17266.7
20,3800,6385.35,10751.7,-17137.1
21,4000,5348.87,11555.5,-16904.3
22,4200,4318.71,12374.1,-16692.8
23,4400,3252.26,13094.5,-16346.8
24,4600,2178.62,13779.8,-15958.4
25,4800,1099.22,14449.2,-15548.4
26,5000,9.55716,14992.1,-15001.6
27,5200,-1077.11,15496.8,-14419.7
28,5400,-2158.24,15940.4,-13782.2
29,5600,-3239.42,16370.5,-13131.1
30,5800,-4286.46,16634.4,-12348
31,6000,-5347.01,16952,-11605
32,6200,-6360.4,17115,-10754.6
33,6400,-7367.39,17262.1,-9894.68
34,6600,-8354.97,17356.2,-9001.28
35,6800,-9264.28,17290,-8025.68
36,7000,-10156.6,17198.8,-7042.23
37,7200,-11019.3,17058.1,-6038.81
38,7400,-11869.3,16893,-5023.62
39,7600,-12631.8,16600.2,-3968.32
40,7800,-13345.5,16244.8,-2899.23
41,8000,-13983.9,15800.9,-1817
42,8200,-14591.2,15324.6,-733.455
43,8400,-15143.6,14791.1,352.482
44,8600,-15671.8,14231.7,1440.17
45,8800,-16084.3,13566.1,2518.21
46,9000,-16468,12876.6,3591.38
47,9200,-16767.5,12120.7,4646.84
48,9400,-16960.9,11290.9,5670.06
49,9600,-17186,10481.6,6704.42
50,9800,-17331.3,9618.28,7713.03
51,10000,-17298.8,8657.64,8641.11
52,10200,-17284.4,7708.75,9575.67
53,10400,-17187.7,6721.77,10465.9
54,10600,-16964.1,5687.91,11276.1
55,10800,-16809,4675.47,12133.6
56,11000,-16521.9,3620.59,12901.3
57,11200,-16108.9,2539.88,13569
58,11400,-15671.7,1458.46,14213.3
59,11600,-15197.5,372.653,14824.8
60,11800,-14631.1,-715.845,15347
61,12000,-13989.9,-1797.35,15787.3
62,12200,-13306.5,-2869.33,16175.8
63,12400,-12668.8,-3957.15,16626
64,12600,-11843.6,-4988.56,16832.1
65,12800,-11042.9,-6025.76,17068.6
66,13000,-10165,-7019.94,17184.9
67,13200,-9253.47,-7985.51,17239
68,13400,-8360.58,-8972.88,17333.5
69,13600,-7381.7,-9874.97,17256.7
70,13800,-6375.43,-10735,17110.4
71,14000,-5360.82,-11581.3,16942.1
72,14200,-4313.54,-12359.3,16672.9
73,14400,-3259.68,-13124.4,16384.1
74,14600,-2178.83,-13781.1,15960
75,14800,-1095.32,-14397.9,15493.2
76,15000,-9.54953,-14980.1,14989.7
77,15200,1079.42,-15530,14450.6
78,15400,2156.13,-15924.9,13768.8
79,15600,3232.3,-16334.5,13102.2
80,15800,4293.52,-16661.8,12368.3
81,16000,5326.84,-16888,11561.2
82,16200,6360.64,-17115.6,10755
